callsign,originCountry,lat,lon,alt,vel,dir,cat
AUA50B  ,Austria,48.1609,16.622,2141.22,133.05,24.68,0
DWI4602 ,Dominican Republic,14.5695,-90.5319,1432.56,71.26,17.65,0
,United States,41.9984,-73.3175,1539.24,82.97,223.49,0
,United States,47.4482,-122.3063,,2.06,351.56,0
N24DH   ,United States,44.8013,-94.3278,853.44,77.21,156.85,0
N434LA  ,United States,40.8612,-105.1674,2407.92,78.51,335.62,0
TAY5KU  ,Austria,57.8973,12.3463,1287.78,127.47,154.16,0
DAL2128 ,United States,33.7257,-84.8539,3299.46,152.31,287.09,0
N511JS  ,United States,31.8567,-91.5615,13716.0,229.55,233.57,0
AAL2405 ,United States,40.3802,-110.5403,9136.38,224.63,306.06,0
UAL1484 ,United States,34.0506,-117.5627,3817.62,142.76,245.74,0
N3848N  ,United States,35.5241,-89.8113,2560.32,78.5,259.43,0
QFA7589 ,United States,25.6083,119.3645,11917.68,268.6,46.86,0
IJA56   ,United States,39.5869,-104.8517,1752.6,70.51,178.33,0
AAY612  ,United States,36.1383,-115.0342,1478.28,143.23,84.23,0
JIA5050 ,United States,37.5976,-83.9969,7924.8,197.9,314.37,0
FFT1149 ,United States,40.5091,-103.5951,7498.08,207.64,245.4,0
AEE1HE  ,Greece,37.6782,23.6886,1356.36,130.77,37.01,0
N18728  ,United States,27.781,-82.4494,327.66,52.69,260.45,0
ANZ24   ,New Zealand,49.2568,-123.6629,1607.82,102.76,99.51,0
N759RF  ,United States,45.3762,-92.2805,1295.4,59.16,306.87,0
N77LA   ,United States,33.4525,-111.766,868.68,41.7,9.23,0
SCX344  ,United States,38.7354,-89.5671,10972.8,189.58,332.88,0
JZA719  ,Canada,44.7435,-88.9179,8595.36,175.27,280.49,0
XASEX   ,Mexico,36.8632,-100.2971,12496.8,280.41,79.54,0
N182WK  ,United States,38.794200000000004,-94.7393,518.16,43.48,10.91,0
JZA610  ,Canada,45.4753,-73.7425,,10.29,42.19,0
WJA167  ,Canada,52.4491,-115.6765,10363.2,178.82,235.08,0
DAL2630 ,United States,42.3884,-70.7474,1005.84,112.0,308.66,0
SWA314  ,United States,37.2243,-121.7784,1021.08,95.48,318.49,0
AAL137  ,United States,48.0475,-100.9472,11582.4,240.51,223.7,0
JIA5534 ,United States,31.2032,-89.9224,6210.3,199.81,203.2,0
UAL1728 ,United States,37.7643,-111.7186,11277.6,243.72,106.18,0
UAL2076 ,United States,41.0122,-97.961,10363.2,205.63,264.69,0
HI1001  ,Dominican Republic,26.6038,-79.4124,6545.58,202.87,18.02,0
QXE2052 ,United States,46.6468,-122.885,6987.54,199.75,357.79,0
EJU79RV ,Austria,51.6698,0.6156,7010.4,178.64,35.98,0
JBU753  ,United States,31.8978,-78.4866,10972.8,231.89,197.03,0
SPAR371 ,United States,38.8599,-103.9546,4229.1,155.71,278.93,0
UCA4309 ,United States,30.3571,-95.1903,3779.52,179.48,23.48,0
SWA495  ,United States,35.1999,-118.7556,7360.92,208.78,162.95,0
DAL951  ,United States,38.1367,-106.6737,11894.82,275.54,73.29,0
N53KJ   ,United States,39.0736,-118.4653,13716.0,223.46,7.14,0
RPA3675 ,United States,40.6959,-74.1752,,1.29,222.19,0
ARE4236 ,Chile,4.6029,-74.275,3634.74,145.68,262.9,0
N833GC  ,United States,36.0905,-114.2225,1036.32,70.24,84.96,0
FD535   ,Australia,-34.9577,138.5166,,0.0,140.62,0
N207SA  ,United States,36.3528,-89.5538,1615.44,74.59,126.87,0
N28UH   ,United States,33.6474,-111.9424,746.76,46.44,184.45,0
N164QS  ,United States,43.6038,-121.1906,13114.02,264.74,335.43,0
JST761  ,Australia,-34.9866,139.7804,7094.22,241.82,89.02,0
JST912  ,Australia,-29.212,148.8776,10980.42,220.64,340.38,0
JST784  ,Australia,-33.95,151.1866,,10.8,78.75,0
WJA425  ,Canada,52.8132,-110.8014,11582.4,197.2,282.66,0
PE660   ,Australia,-31.8476,150.9424,4884.42,123.0,326.78,0
N111SA  ,United States,40.4704,-104.609,1645.92,45.09,343.43,0
THA314  ,Thailand,22.6752,88.4503,160.02,84.93,6.61,0
THA338  ,Thailand,12.808,81.7793,9105.9,249.72,108.25,0
THA483  ,Thailand,-7.6955,107.6622,12496.8,244.43,165.5,0
ZKHQD   ,New Zealand,-38.1481,176.8419,266.7,16.27,108.43,0
N754MM  ,United States,34.8482,-80.561,12176.76,218.19,201.73,0
N401PJ  ,United States,40.4598,-111.8451,3139.44,50.99,239.04,0
SWA1623 ,United States,41.9319,-88.539,11887.2,260.4,79.07,0
N21339  ,United States,40.0818,-74.2527,1082.04,43.3,350.43,0
AAL1626 ,United States,35.613,-93.8931,11269.98,289.89,85.83,0
N58ER   ,United States,40.197,-96.562,7315.2,184.65,192.06,0
N851WW  ,United States,40.7856,-73.3989,373.38,73.57,180.8,0
SIL65   ,United States,26.1898,-80.0582,1844.04,129.63,220.01,0
OXF9864 ,United States,33.3788,-111.5491,982.98,80.9,303.59,0
N963DP  ,United States,28.8716,-81.5805,5189.22,129.39,335.57,0
N101HF  ,United States,33.9673,-112.9236,1219.2,64.51,122.3,0
VTAGL   ,India,34.0678,24.4078,12496.8,265.06,152.74,0
ANZ616M ,New Zealand,-39.2905,174.5943,5791.2,134.89,19.61,0
N484E   ,United States,45.2819,-123.0866,472.44,27.23,202.2,0
RPA4534 ,United States,40.8834,-73.7832,678.18,77.4,240.54,0
N329PT  ,United States,25.6255,-80.4061,304.8,59.82,266.05,0
AAL2359 ,United States,35.1185,-100.3498,7010.4,223.89,127.34,0
,Canada,30.6317,-99.8349,1188.72,80.06,153.27,0
SDU162  ,United States,33.6193,-111.9143,,5.66,177.19,0
TAM3645 ,Brazil,-20.262,-40.2791,,45.27,351.56,0
DAL2819 ,United States,35.6955,-81.3077,5006.34,177.71,149.95,0
AFR7311 ,France,44.2964,6.524,6911.34,210.06,333.06,0
ASA9812 ,United States,37.3043,-117.3068,9753.6,238.99,318.14,0
N52438  ,United States,36.9064,-76.7073,822.96,49.18,217.35,0
JLG275  ,United States,33.7148,-111.8203,1371.6,88.34,214.8,0
AVA9397 ,United States,5.163,-74.4601,4808.22,165.37,169.42,0
AB237   ,Canada,46.6086,-80.6992,883.92,73.0,285.11,0
NSZ2873 ,Sweden,47.8272,1.2873999999999999,11574.78,186.16,25.36,0
JBU1016 ,United States,40.7001,-74.1396,167.64,68.19,275.19,0
N2268X  ,United States,44.836,-123.0413,274.32,30.39,2.91,0
TWY75   ,United States,42.1614,-71.9658,2171.7,146.63,39.16,0
FDY394  ,United States,39.3434,-77.632,1569.72,81.46,152.14,0
N604MD  ,United States,34.9682,-82.38,1021.08,89.51,64.47,0
ARG1272 ,Argentina,-24.4986,-45.547,11277.6,254.45,63.33,0
N930RS  ,United States,30.099,-95.4406,1821.18,114.54,96.97,0
DAL2535 ,United States,35.3307,-81.6462,10668.0,198.23,355.24,0
